
5-grams:
('gone', 'rt', 'michael', 'henry', '4ag'): 99
('attorney', 'general', 'candidate', 'michael', 'henry'): 98
('michael', 'henry', 'for', 'attorney', 'general'): 60
('rt', 'michael', 'henry', '4ag', 'i'): 56
('rt', 'michael', 'henry', '4ag', 'the'): 43
('ny', 'attorney', 'general', 'candidate', 'michael'): 40
('new', 'york', 'ny', 'attorney', 'general'): 38
('york', 'ny', 'attorney', 'general', 'candidate'): 38
('paid', 'for', 'by', 'henry', 'for'): 37
('for', 'by', 'henry', 'for', 'new'): 37
('by', 'henry', 'for', 'new', 'york'): 37
('henry', 'for', 'new', 'york', '2022'): 37
('for', 'new', 'york', '2022', 'all'): 37
('new', 'york', '2022', 'all', 'rights'): 37
('york', '2022', 'all', 'rights', 'reserved'): 37
('endorses', 'michael', 'henry', 'for', 'attorney'): 33
('rt', 'michael', 'henry', '4ag', 'we'): 32
('rt', 'michael', 'henry', '4ag', 'a'): 31
('michael', 'henry', 'for', 'agnews', 'press'): 26
('henry', 'for', 'agnews', 'press', 'release'): 26
('rt', 'michael', 'henry', '4ag', 'it'): 26
('rt', 'michael', 'henry', '4ag', 'my'): 26
('2022', 'all', 'rights', 'reserved', 'for'): 24
('all', 'rights', 'reserved', 'for', 'immediate'): 24
('rights', 'reserved', 'for', 'immediate', 'release'): 24
('rt', 'michael', 'henry', '4ag', 'endorsement'): 23
('general', 'candidate', 'michael', 'henry', 'today'): 22
('michael', 'henry', '4ag', 'my', 'opponent'): 21
('michael', 'henry', '4ag', 'endorsement', 'alert'): 20
('police', 'conference', 'of', 'new', 'york'): 19
('today', 'received', 'the', 'endorsement', 'of'): 19
('received', 'the', 'endorsement', 'of', 'the'): 19
('new', 'york', 'state', 'attorney', 'general'): 19
('rt', 'michael', 'henry', '4ag', 'today'): 19
('henry', 'for', 'attorney', 'general', 'new'): 17
('for', 'attorney', 'general', 'new', 'york'): 17
('attorney', 'general', 'new', 'york', 'ny'): 17
('general', 'new', 'york', 'ny', 'attorney'): 17
('general', 'candidate', 'michael', 'henry', 'said'): 17
('rt', 'michael', 'henry', '4ag', 'thank'): 17
('michael', 'henry', '4ag', 'thank', 'you'): 17
('rt', 'michael', 'henry', '4ag', 'this'): 17
('nys', 'law', 'enforcement', 'officers', 'union'): 16
('law', 'enforcement', 'officers', 'union', 'council'): 16
('enforcement', 'officers', 'union', 'council', '82'): 16
('rt', 'michael', 'henry', '4ag', 'new'): 16
('nys', 'attorney', 'general', 'candidate', 'michael'): 15
('rt', 'two', 'the', 'point', 'wit1'): 14
('michael', 'henry', '4ag', 'i', 'll'): 13
('henry', '4ag', 'i', 'll', 'be'): 13
('michael', 'henry', '4ag', 'it', 's'): 13
('new', 'poll', 'shows', 'attorney', 'general'): 12
('poll', 'shows', 'attorney', 'general', 'candidate'): 12
('shows', 'attorney', 'general', 'candidate', 'michael'): 12
('nassau', 'county', 'sheriff', 's', 'coba'): 12
('candidate', 'michael', 'henry', 'today', 'received'): 12
('michael', 'henry', 'today', 'received', 'the'): 12
('henry', 'today', 'received', 'the', 'endorsement'): 12
('the', 'police', 'conference', 'of', 'new'): 12
('michael', 'henry', '4ag', 'i', 'm'): 12
('a', 'rt', 'michael', 'henry', '4ag'): 12
('i', 'rt', 'michael', 'henry', '4ag'): 12
('for', 'attorney', 'general', 'press', 'release'): 11
('henry', '4ag', 'my', 'opponent', 'letitia'): 11
('4ag', 'my', 'opponent', 'letitia', 'james'): 11
('two', 'the', 'point', 'wit1', 'episode'): 11
('national', 'ny', 'cpd', '1013', 'organizations'): 10
('henry', 'for', 'attorney', 'general', 'press'): 10
('candidate', 'michael', 'henry', 'calls', 'on'): 10
('party', 'nominee', 'for', 'attorney', 'general'): 10
('4ag', 'i', 'll', 'be', 'on'): 10
('wg', 'y', 'mornings', 'with', 'doug'): 10
('to', 'stop', 'the', 'crime', 'crisis'): 10
('w', 'rt', 'michael', 'henry', '4ag'): 10
('ny', 'cpd', '1013', 'organizations', 'inc'): 9
('ag', 'candidate', 'michael', 'henry', 'on'): 9
('arrest', 'of', 'lt', 'governor', 'brian'): 9
('of', 'lt', 'governor', 'brian', 'benjamin'): 9
('york', 'state', 'attorney', 'general', 'candidate'): 9
('for', 'attorney', 'general', 'michael', 'henry'): 9
('attorney', 'general', 'michael', 'henry', 'for'): 9
('general', 'michael', 'henry', 'for', 'agnews'): 9
('reserved', 'for', 'immediate', 'release', 'october'): 9
('o', 'rt', 'michael', 'henry', '4ag'): 9
('b', 'rt', 'michael', 'henry', '4ag'): 9
